videoId,pollTimestamp,viewCount,likeCount,commentCount,title,publishedAt,channelTitle,firstSeen,category,categoryId,viewsLag1,likesLag1,commentsLag1,pctChangeViews,pctChangeLikes,pctChangeComments,viewsRollingMean,viewsRollingStd,engagementRate,daysSinceUpload
--kwDzhOPYw,2026-02-27 23:00:28,20883.0,441,2,#Kone Dekha Alo #Shorts #Zee Bangla #Entertainment #Drama,2026-02-27 08:00:00,Zee Bangla,2026-02-27T11:00:11.052313Z,Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021213427189580043,0.0
--kwDzhOPYw,2026-03-01 11:00:32,35772.0,721,4,#Kone Dekha Alo #Shorts #Zee Bangla #Entertainment #Drama,2026-02-27 08:00:00,Zee Bangla,2026-02-27T11:00:11.052313Z,Entertainment,0.0,20883.0,441.0,2.0,0.7129722740985491,0.6349206349206349,1.0,0.0,0.0,0.020267248127026724,2.0
--kwDzhOPYw,2026-03-01 17:00:30,38131.0,782,4,#Kone Dekha Alo #Shorts #Zee Bangla #Entertainment #Drama,2026-02-27 08:00:00,Zee Bangla,2026-02-27T11:00:11.052313Z,Entertainment,0.0,35772.0,721.0,4.0,0.06594543218159443,0.0846047156726768,0.0,31595.333333333332,9351.833207095458,0.020613149405995124,2.0
--orYvCi6MQ,2026-02-26 05:00:29,47967.0,633,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15 04:00:00,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013300810974211437,11.0
--orYvCi6MQ,2026-02-27 05:00:25,48237.0,639,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15 04:00:00,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming,0.0,47967.0,633.0,5.0,0.005628869848020468,0.009478672985782088,0.0,0.0,0.0,0.013350747351618052,12.0
--orYvCi6MQ,2026-03-01 23:00:22,48703.0,644,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15 04:00:00,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming,0.0,48237.0,639.0,5.0,0.009660633953189501,0.00782472613458518,0.0,48302.333333333336,372.32423146141406,0.013325667823337372,14.0
--orYvCi6MQ,2026-03-02 23:00:25,48748.0,644,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15 04:00:00,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming,0.0,48703.0,644.0,5.0,0.0009239677227275145,0.0,0.0,48562.666666666664,282.9316760868821,0.01331336670222368,15.0
-0-N4P533-A,2026-03-04 05:00:38,1110269.0,27728,1152,ROBLOX APOYA A LOS JUEGOS BODRIOS 🤮😱,2026-03-02 17:31:59,MagmuhBlox,2026-03-02T23:00:10.813086Z,Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026011714278251486,1.0
-1LuhvEUZA0,2026-02-28 23:00:32,45923.0,905,4,Supreme Commander&#39;s Strong Mindset with Public training #adoreble #islamicworld#education#news#edit,2026-02-28 17:49:53,Positivity 1.0 ,2026-03-01T05:00:07.792214Z,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019794003005030158,0.0
-1LuhvEUZA0,2026-03-01 05:00:30,106585.0,1868,12,Supreme Commander&#39;s Strong Mindset with Public training #adoreble #islamicworld#education#news#edit,2026-02-28 17:49:53,Positivity 1.0 ,2026-03-01T05:00:07.792214Z,Education,0.0,45923.0,905.0,4.0,1.3209502863488884,1.064088397790055,2.0,0.0,0.0,0.017638504479992493,0.0
