videoId,pollTimestamp,viewCount,likeCount,commentCount,title,publishedAt,duration,channelTitle,firstSeen,category
--orYvCi6MQ,2026-02-26 05:00:29,47967,633,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15T04:00:00Z,,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming
--orYvCi6MQ,2026-02-27 05:00:25,48237,639,5,Funny Game - Giúp chó sói và zombie hẹn hò #gameplay #games #gaming #anime #funny,2026-02-15T04:00:00Z,,AFKMOBI TV,2026-02-15T04:08:04.080143Z,Gaming
-1jVbPG76bs,2026-02-17 18:59:08,22239,1320,89,Class 12 Physical Education Most Important questions QUESTION -  2  3 and 5 marks question answer,2026-02-17T18:32:38Z,,Eklavya Study Point,2026-02-17T18:59:04.012635Z,Education
-1jVbPG76bs,2026-02-19 11:58:54,37571,1602,170,Class 12 Physical Education Most Important questions QUESTION -  2  3 and 5 marks question answer,2026-02-17T18:32:38Z,,Eklavya Study Point,2026-02-17T18:59:04.012635Z,Education
-1jVbPG76bs,2026-02-27 05:00:27,38122,1593,170,Class 12 Physical Education Most Important questions QUESTION -  2  3 and 5 marks question answer,2026-02-17T18:32:38Z,,Eklavya Study Point,2026-02-17T18:59:04.012635Z,Education
-2Ff6KfG5-0,2026-02-19 03:15:26,10580,0,2,99 Nights in the forest ruby chest 🤯 #roblox #robloxedit #rblx #gameplay #trending #shorts,2026-02-16T18:29:00Z,,Roblox glitch 7,2026-02-16T22:43:19.329912Z,Gaming
-2Ff6KfG5-0,2026-02-26 23:00:28,11804,0,2,99 Nights in the forest ruby chest 🤯 #roblox #robloxedit #rblx #gameplay #trending #shorts,2026-02-16T18:29:00Z,,Roblox glitch 7,2026-02-16T22:43:19.329912Z,Gaming
-2HBd3Co62c,2026-02-27 11:00:43,1042,73,7,Class 12 SN dey Book Review 2026 🔥 #parthasgramclass #education #class11maths #sndeybook,2026-02-27T06:30:53Z,,Parthasgram Class,2026-02-27T11:00:12.583687Z,Education
-3MvXrHkN7w,2026-02-13 03:58:46,316,1,0,How To Install Steam On Mac - Step By Step,2026-02-13T01:36:35Z,,GuideRealm,2026-02-13T04:01:01.360679Z,Howto & Style
-3MvXrHkN7w,2026-02-15 22:04:26,610,3,1,How To Install Steam On Mac - Step By Step,2026-02-13T01:36:35Z,,GuideRealm,2026-02-13T04:01:01.360679Z,Howto & Style
-3MvXrHkN7w,2026-02-19 17:27:51,668,3,1,How To Install Steam On Mac - Step By Step,2026-02-13T01:36:35Z,,GuideRealm,2026-02-13T04:01:01.360679Z,Howto & Style
-3MvXrHkN7w,2026-02-26 11:00:23,773,4,1,How To Install Steam On Mac - Step By Step,2026-02-13T01:36:35Z,,GuideRealm,2026-02-13T04:01:01.360679Z,Howto & Style
-3iMmUermK8,2026-02-19 11:58:56,344823,1521,2,Granny is Live || Granny Horror Gameplay || Granny Grandpa👉☠️ #shortsfeed #granny #shots,2026-02-19T02:47:20Z,,JS Playsz,2026-02-19T03:15:21.601475Z,Gaming
