videoId,title,publishedAt,viewCount,likeCount,commentCount,pollTimestamp,categoryId,category,channelTitle
AENBKj5175g,"Third day of the New Year – Wishing you peace, warmth in your family a year filled with happiness.",2026-02-19T13:00:30Z,45565323,598769,659,2026-02-24T08:16:22Z,26,Howto & Style,BYB Academy
EGddu3Romps,Teacher Tried to Catch the Gate Kicker… But Every Student Had a Crazy Excuse,2026-02-20T09:28:42Z,41896134,0,40,2026-02-24T08:16:22Z,24,Entertainment,Happy L story 
4qFLuUlx4SI,How Fast Can You Stop A KPop Demon?,2026-02-20T13:33:37Z,32569451,518221,1427,2026-02-24T08:16:22Z,22,People & Blogs,Stokes Twins
IvqWwQJndYc,Chi é Elodie in confronto a Shakira ? 😍#shakira #elodie #confronto #concerto #fan #cantante #fans,2026-02-18T22:00:17Z,50368172,140573,946,2026-02-24T08:16:22Z,22,People & Blogs,OoK
HSU6L2IYlpA,She became a mummy. she became a mummy for fun!❤️,2026-02-17T14:00:32Z,38584120,0,2037,2026-02-24T08:16:22Z,22,People & Blogs,Red
4tzBDynpQ1E,They turned a muddy clearing into a bamboo paradise #transformation #satisfying,2026-02-18T18:45:00Z,30272424,554107,4255,2026-02-24T08:16:22Z,22,People & Blogs,Inspiring Ideas
ZgNkU0EgbmY,Can a 100 Pound Kettlebell Stop a 50 Cal?,2026-02-18T16:10:49Z,36230239,753566,4158,2026-02-24T08:16:22Z,22,People & Blogs,Yee Yee Life
yCGsrkdddoE,"A Mansão do meu cachorro desabou, então acabei dando uma casa simples improvisada para ele 😱🏠",2026-02-20T22:40:01Z,33968015,164706,1801,2026-02-24T08:16:22Z,15,Pets & Animals,Kitem AI Dogs Oficial
WP1LBZMF1L0,Simran enters a Moneyless World🌎💸😱|Simran Makhija| #shorts #school #schoollife #funny #comedy,2026-02-19T00:30:27Z,26413681,251053,129,2026-02-24T08:16:22Z,22,People & Blogs,Simran Makhija
ncNl1Qu_dDE,When Military Training Turns Into a Comedy Show,2026-02-19T07:30:20Z,27329975,0,211,2026-02-24T08:16:22Z,24,Entertainment,CurioVerse
TZurFnKJNns,包丁ができるまでHow a Knife is Made,2026-02-18T12:00:58Z,23117663,316990,3466,2026-02-24T08:16:22Z,24,Entertainment,研師Ryota
28dq4f6MBZ0,"Officer saves old lady from a 250,000$ SCAM",2026-02-18T18:34:37Z,19797111,871781,17230,2026-02-24T08:16:22Z,22,People & Blogs,Patrol Log
IWz9qdq_EnA,No one is born with a dark heart ♥ #viral #status #funnyexpression,2026-02-19T05:47:26Z,19583477,0,529,2026-02-24T08:16:22Z,24,Entertainment,Yash
ArvNDr9Cdbs,These people have built a luxury home #shortsvideo,2026-02-18T09:21:00Z,21340035,0,107,2026-02-24T08:16:22Z,22,People & Blogs,Shorts With Sai 2
sEITEY7x7Tg,What Happens to Your Grip If You Squeeze a Hand Gripper for 30 Days?,2026-02-19T04:30:38Z,21265991,330725,363,2026-02-24T08:16:22Z,17,Sports,Skull Yogi
S_9F_sLCjW0,Pain of Having a Stepmom🥹 #stepmomlife #jagritipahwa #stepparents #realitycheck #treatchildrenwell,2026-02-17T13:28:55Z,18635172,374668,890,2026-02-24T08:16:22Z,23,Comedy,Jagriti Pahwa
7Q9SQN-uXGo,Never Ride a Bicycle Without Brakes 😱,2026-02-17T12:05:00Z,19852732,0,26,2026-02-24T08:16:22Z,22,People & Blogs,Jazzy Voice
