week,matched_bucket,yt_videos,yt_avg_views,yt_avg_likes,yt_total_comments,yt_avg_engagement,views_per_video
2026-02-09/2026-02-15,Automotive and Transport,41,188184.46341463414,1218.341463414634,1055,0.009388016939796743,188184.46341463414
2026-02-09/2026-02-15,Business and Finance,17,154651.9411764706,3382.529411764706,2192,0.03189164168167075,154651.9411764706
2026-02-09/2026-02-15,Crime and Legal,4,277171.0,3897.5,187,0.00884438630530425,277171.0
2026-02-09/2026-02-15,Environment and Outdoors,3,4972924.0,22626.333333333332,50,0.0039412431873189,4972924.0
2026-02-09/2026-02-15,Film and TV,357,1327666.1960784313,6637.313725490196,73925,0.016298335057597195,1327666.1960784313
2026-02-09/2026-02-15,Gaming,244,152204.97540983607,2590.1762295081967,20274,inf,152204.97540983607
2026-02-09/2026-02-15,Health and Fitness,35,302457.1142857143,2222.5714285714284,2215,0.03658034330067257,302457.1142857143
2026-02-09/2026-02-15,Industry and Operations,3,51453.0,617.3333333333334,108,0.030730333616054335,51453.0
2026-02-09/2026-02-15,Lifestyle and Hobbies,98,494072.3469387755,2731.3469387755104,3439,0.014910460708397633,494072.3469387755
2026-02-09/2026-02-15,Music,374,104217.4679144385,2067.6898395721923,44441,0.026458172821837437,104217.4679144385
2026-02-09/2026-02-15,Other,326,214011.42024539877,2464.365030674847,31262,0.02242799848349581,214011.42024539877
2026-02-09/2026-02-15,People and Society,15,73800.8,775.4666666666667,231,0.026300790691391455,73800.8
2026-02-09/2026-02-15,Politics and World News,1,122838.0,3606.0,44,0.0297139321708266,122838.0
2026-02-09/2026-02-15,Science and Education,83,57623.819277108436,630.3493975903615,5317,0.03232253227216806,57623.819277108436
2026-02-09/2026-02-15,Sports,27,109968.37037037036,3563.5925925925926,4141,0.02226487788732956,109968.37037037036
2026-02-09/2026-02-15,Technology,29,207851.24137931035,3878.5862068965516,5347,0.6746090930973614,207851.24137931035
2026-02-16/2026-02-22,Automotive and Transport,93,5263931.677419355,51724.49462365591,99760,0.014646717375884974,5263931.677419355
2026-02-16/2026-02-22,Books and Publishing,3,2415671.0,90382.0,558,0.021129774891742403,2415671.0
2026-02-16/2026-02-22,Business and Finance,28,3044441.964285714,76761.0,24306,0.03363039173165435,3044441.964285714
2026-02-16/2026-02-22,Crime and Legal,5,5541356.4,195963.8,61863,0.026101371336678815,5541356.4
