date,Arts & Entertainment,Music & Audio,Games,Education,Hobbies & Leisure
2/11/26,85,88,83,96,82
2/12/26,86,91,81,92,85
2/13/26,88,90,82,85,87
2/14/26,92,100,87,71,100
2/15/26,94,96,89,70,94
2/16/26,89,90,84,86,96
2/17/26,82,97,81,92,95
2/18/26,81,87,81,85,91
2/19/26,86,87,83,89,88
2/20/26,91,95,87,88,84
2/21/26,96,96,93,72,89
2/22/26,98,96,94,73,87
2/23/26,89,90,80,97,79
2/24/26,87,92,79,98,78
2/25/26,87,89,78,100,79
2/26/26,88,94,77,93,81
2/27/26,89,96,85,90,81
2/28/26,96,99,95,75,82
3/1/26,98,95,100,73,86
3/2/26,81,86,83,99,78
3/3/26,83,86,83,89,81
3/4/26,86,90,89,91,79
3/5/26,84,84,86,94,79
3/6/26,90,97,90,91,84
3/7/26,97,98,97,72,87
3/8/26,96,98,96,72,97
3/9/26,83,87,83,100,85
3/10/26,88,92,86,100,82
3/11/26,86,91,84,93,76
3/12/26,87,91,86,89,81
3/13/26,92,100,88,89,81
3/14/26,90,99,100,65,90
3/15/26,100,96,92,69,86
3/16/26,86,90,77,88,81
3/17/26,87,89,81,94,85
3/18/26,87,92,78,96,82
